Country,Rice(ha),Rice(t),Rice(Kcal),Rice(%),Rice new(ha),Rice new(t),Rice new(Kcal),Corn(ha),Corn(t),Corn(Kcal),Corn(%),Corn new(ha),Corn new(t),Corn new(Kcal),Wheat(ha),Wheat(t),Wheat(Kcal),Wheat(%),Wheat new(ha),Wheat new(t),Wheat new(Kcal),Soya(ha),Soya(t),Soya(Kcal),Soya(%),Soya new(ha),Soya new(t),Soya new(Kcal),Roots and tubers(ha),Roots and tubers(t),Roots and tubers(Kcal),Roots and tubers(%),Roots and tubers new(ha),Roots and tubers new(t),Roots and tubers new(Kcal),sum(ha),sum(t),sum(Kcal),sum new(ha),sum new(t),sum new(Kcal),Calorie difference(%)
Angola,37646,52467,5.155E+11,5.00%,116144.2,161869.4613,1.5904E+12,2271102,2654698,1.42606E+13,95.00%,2206739.8,2579464.83,1.38564E+13,2579,2820,29948018798,0.00%,0,0,0,11557,26353,1.43883E+11,0.00%,0,0,0,0,0,0,0.00%,0,0,0,2322884,2736338,1.49499E+13,2322884,2741334.291,1.54468E+13,3.32%
Antigua and Barbuda,0,0,0,0.00%,0,0,0,47,75,295119351.5,100.00%,47,75,295119351.5,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,47,75,295119351.5,47,75,295119351.5,0.00%
Argentina,132179,912435,1.80997E+12,2.00%,588220.64,4060502.044,8.05472E+12,7138620,43462323,4.48244E+13,15.00%,4411654.8,26859640.36,2.77014E+13,5822173,18518045,6.76086E+13,20.00%,5882206.4,18708987.66,6.83057E+13,16318060,37787927,2.03157E+14,60.00%,17646619.2,40864487.45,2.19697E+14,0,0,0,3.00%,882330.96,0,5.58679E+12,29411032,100680730,3.174E+14,29411032,90493617.52,3.29346E+14,3.76%
Armenia,0,0,0,0.00%,0,0,0,1383,7615,8684043896,2.00%,1355.22,7462.039262,8509609522,66378,187453,7.70799E+11,98.00%,66405.78,187531.4514,7.71121E+11,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,67761,195068,7.79483E+11,67761,194993.4906,7.79631E+11,0.02%
Australia,40788,423620,5.58525E+11,1.00%,110497.51,1147615.847,1.51308E+12,52783,387240,3.31432E+11,1.00%,110497.51,810659.7915,6.93829E+11,10919180,20941134,1.26796E+14,95.00%,10497263.45,20131969.67,1.21897E+14,37000,63000,4.60644E+11,1.00%,110497.51,188144.4089,1.37568E+12,0,0,0,2.00%,220995.02,0,1.39931E+12,11049751,21814994,1.28147E+14,11049751,22278389.71,1.26879E+14,-0.99%
Austria,0,0,0,0.00%,0,0,0,209903,2130339,1.31801E+12,40.00%,228072.4,2314743.136,1.4321E+12,292654,1370960,3.39837E+12,50.00%,285090.5,1335528.207,3.31055E+12,67624,184342,8.41907E+11,10.00%,57018.1,155430.4772,7.09866E+11,0,0,0,0.00%,0,0,0,570181,3685641,5.55829E+12,570181,3805701.82,5.45251E+12,-1.90%
azerbaijan,2691,7987,36848838595,1.00%,7122.81,21140.79653,97535219634,31715,247939,1.99143E+11,5.00%,35614.05,278420.6824,2.23625E+11,677834,1991683,7.87118E+12,94.00%,669544.14,1967324.863,7.77492E+12,41,69,510442961.5,0.00%,0,0,0,0,0,0,0.00%,0,0,0,712281,2247678,8.10769E+12,712281,2266886.342,8.09608E+12,-0.14%
Bangladesh,7944211,37630352,1.08783E+14,95.00%,8317593.9,39399002.15,1.13896E+14,400478,3288102,2.51466E+12,2.00%,175107.24,1437708.104,1.09952E+12,351228,1099373,4.07855E+12,3.00%,262660.86,822150.4483,3.05009E+12,59445,98699,7.4008E+11,0.00%,0,0,0,0,0,0,0.00%,0,0,0,8755362,42116526,1.16116E+14,8755362,41658860.7,1.18045E+14,1.66%
Belarus,0,0,0,0.00%,0,0,0,174601,1137932,1.09634E+12,20.00%,166892.4,1087692.525,1.04794E+12,659861,1814765,7.66248E+12,80.00%,667569.6,1835965.37,7.75199E+12,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,834462,2952697,8.75882E+12,834462,2923657.895,8.79993E+12,0.47%
Belize,1813,8921,24826066285,5.00%,1336.2,6574.870491,18297071026,18488,77766,1.16089E+11,70.00%,18706.8,78686.33756,1.17463E+11,0,0,0,0.00%,0,0,0,6401,11776,79691351140,25.00%,6681,12291.11951,83177303073,22,205,139300754.1,0.00%,0,0,0,26724,98668,2.20745E+11,26724,97552.32756,2.18937E+11,-0.82%
