Country,New Kcal,New Production Cost,New Environmental Impact Factor,score
Angola,1.54468E+13,46699761298,12833934.1,0.0076
Antigua and Barbuda,295119351.5,68372160952,258.5,0.0075
Argentina,3.29346E+14,96941784787,118232348.6,0.0212
Armenia,7.79631E+11,24023627719,306279.72,0.0078
Australia,1.26879E+14,19965695984,49447635.73,0.0108
Austria,5.45251E+12,6604061598,2736868.8,0.0079
azerbaijan,8.09608E+12,560738499.1,3251562.765,0.008
Bangladesh,1.18045E+14,15067210647,52050627.09,0.0104
Belarus,8.79993E+12,4468323742,3921971.4,0.008
Belize,2.18937E+11,46101861.89,134288.1,0.008
Bhutan,4.33539E+11,3438570915,250624,0.008
Bolivia,2.42509E+13,4862214428,9156340.25,0.0081
Bosnia and Herzegovina,2.15719E+12,938170173.4,1423692.4,0.008
Brazil,6.09399E+14,2.02952E+11,243898141.5,0.0377
brunei,13938250240,388307311.5,6092.95,0.008
Burundi,1.9822E+12,8761904025,1295764.75,0.0079
Cambodia,2.99429E+13,2654831158,13202935.42,0.0082
Canada,1.48464E+14,27040092643,58175460,0.0117
Chad,3.79486E+12,204738176.4,2624726.25,0.008
Chile,3.58476E+12,643902245.3,1613641.7,0.008
China,1.05354E+15,1.98319E+11,431934741.4,0.0584
Colombia,9.31499E+12,1467770611,5036221.2,0.008
Costa rica,3.59217E+11,209233227.5,160828.2,0.008
Croatia,4.1091E+12,1150407631,2164296,0.008
Cuba,2.33571E+12,225472338.1,1344884.75,0.008
Cyprus,98530026949,0,38182.5,0.008
Democratic People's Republic of Korea,1.2225E+13,1591547522,5432236.8,0.008
Dominican,2.05939E+12,117750695,923603.55,0.008
Egypt,2.75073E+13,4696389026,13452249.6,0.0081
Finland,2.06466E+12,89482325.4,800100,0.008
France,7.21838E+13,14708314349,31484692.98,0.0089
Gambia,7.51705E+11,1492835044,432825.5,0.008
Georgia,9.74624E+11,81982785.72,582174.1,0.008
Ghana,1.13058E+13,1138078688,8156747.2,0.008
Guam,2526142255,17339.8005,1131,0.008
Guatemala,6.35375E+12,6724413.657,4953605.475,0.008
Guinea-Bissau,1.2893E+12,297778840.3,577245,0.008
Guyana,1.56198E+12,212463819.8,693433.195,0.008
Haiti,2.57228E+12,10520631780,1755201,0.0079
Honduras,2.68513E+12,258637928.2,2230934.225,0.008
India,9.36741E+14,1.24502E+11,402102652.5,0.0558
Iran,8.56434E+13,4070805297,33470157.2,0.0094
Jamaica,34578022609,4869505.606,17290,0.008
Japan,1.81629E+13,3589934123,7787671.6,0.008
Jordan,2.16497E+11,11552295.81,86823.1,0.008
kazakhstan,1.34908E+14,760125467.9,52923277.8,0.0113
Kenya,1.51305E+13,1462510165,12586902.4,0.008
Kuwait,3183521515,3654963.594,2788.5,0.008
Lebanon,4.72707E+11,123178540.8,185704.2,0.008
Liberia,2.21561E+12,53104154.62,964471.2,0.008
Lithuania,9.08854E+12,0,3546118.29,0.008
Luxembourg,1.5183E+11,34330629.14,58837.5,0.008
maldives,6529106136,55757.14683,2923.2,0.008
Mali,1.65518E+13,2039805617,10205171.7,0.008
Mauritania,5.41462E+11,52358258.25,274073.1,0.008
Mexico,5.35747E+13,9757548171,42496249.85,0.0083
Mongolia,3.97913E+12,78233844.56,1541997,0.008
myanmar,6.96826E+13,6184077430,31003343.81,0.0089
namibia,4.41825E+11,1907935317,257532.66,0.008
Netherlands,1.3419E+12,217286647.6,557161.2,0.008
Nicaragua,2.58323E+12,228081799.5,1858370.5,0.008
Pakistan,1.38206E+14,10756082718,58912435.4,0.0113
Papua New Guinea,1.75924E+11,5947318.5,77095.425,0.008
Paraguay,5.70378E+13,13706325013,20571997.42,0.0086
Peru,8.24389E+12,1458345930,4786603.5,0.008
Philippines,7.71371E+13,6324359508,34012617.23,0.0091
Poland,3.23548E+13,3404491216,14419971.3,0.0082
Portugal,1.24369E+12,310549985.9,708265.65,0.008
Puerto Rico,3687134581,74977.75779,1663.2,0.008
Qatar,1014597665,713475.7853,844.75,0.008
Republic of Korea,7.68309E+12,1374562672,3294260.8,0.008
Romania,4.23049E+13,9628373287,23645410,0.0082
Russia,3.42218E+14,39209918198,133335167.6,0.022
Rwanda,2.6822E+12,13752462207,1906842.6,0.0079
Sao Tome and Principe,3230185131,657949.1816,2672.8,0.008
Saudi Arabia,1.06113E+12,121145957.9,416866.04,0.008
Senegal,2.95345E+12,245350650,1700574,0.008
Serbia,1.57257E+13,3779190073,8533825.3,0.008
Sierra leone,7.33992E+12,196363825.3,3245909.12,0.008
Slovenia,6.03119E+11,161485317.3,337100,0.008
South Africa,2.90492E+13,6148478204,18050615,0.0081
Spain,2.68322E+13,3897838847,11613960.23,0.0081
Sri Lanka,1.03374E+13,713575488.1,4558162.29,0.008
Sudan,3.01466E+12,5374025.67,1268677.5,0.008
Switzerland,1.04379E+12,118433682.4,402111.36,0.008
Syria,7.25132E+12,256165518.4,2908041.5,0.008
Togo,5.72751E+12,372921100.6,4320078.65,0.008
Turkey,9.17771E+13,6839297492,36009118.23,0.0096
Uganda,8.58895E+12,1066987051,6737158.395,0.008
Ukraine,1.3045E+14,21924974948,60728248.8,0.0109
United Arab emirates,1971648433,3529839.293,1727,0.008
United States,8.66116E+14,3.23708E+11,357708008.9,0.0519
Uruguay,1.77948E+13,1818103459,6069816,0.0081
venezuela,4.23122E+12,539389614.5,2811389.15,0.008
Viet Nam,8.27247E+13,11860289486,36476415.47,0.0092
Zambia,9.97611E+12,350014828.4,6922450.655,0.008
Zimbabwe,5.56238E+12,501171855.2,4341599.9,0.008
