Country or Area,Rice(ha),%Rice,Corn(ha),%Corn,Wheat(ha),%Wheat,Soya(ha),%Soya,Roots and tubers(ha),%Root,sum(ha)
China,20317458,28.00%,42158995,12.00%,24268794,24.00%,7973877,24.00%,3407,12.00%,94722531
United States,786840,5.00%,33079360,20.00%,16027750,30.00%,35657240,30.00%,127375,15.00%,85678565
India,29681500,45.00%,9200000,10.00%,29580000,28.00%,11400000,10.00%,,7.00%,79861500
Brazil,1241496,30.00%,16121147,15.00%,2065254,5.00%,34771690,40.00%,,10.00%,54199587
Russia,120178,1.00%,2375641,9.00%,26472051,60.00%,2740850,20.00%,,10.00%,31708720
Canada,,0.00%,1430700,10.00%,9881000,60.00%,2539600,20.00%,,10.00%,13851300
Ukraine,8404,0.00%,4564200,30.00%,6619600,60.00%,1728700,10.00%,,0.00%,12920904
Bangladesh,7944211,95.00%,400478,2.00%,351228,3.00%,59445,0.00%,,0.00%,8755362
Argentina,132179,2.00%,7138620,15.00%,5822173,20.00%,16318060,60.00%,,3.00%,29411032
Viet Nam,5049684,95.00%,1032598,2.00%,,3.00%,53364,0.00%,,0.00%,6135646
France,8926,1.00%,1421965,20.00%,5231615,70.00%,153747,8.00%,5999,1.00%,6822252
Australia,40788,1.00%,52783,1.00%,10919180,95.00%,37000,1.00%,,2.00%,11049751
Turkey,80131,1.00%,591544,2.00%,7288622,95.00%,32848,1.00%,,1.00%,7993145
Pakistan,1874290,20.00%,1318104,10.00%,8797227,70.00%,29,0.00%,33296,0.00%,12022946
Mexico,30115,1.00%,7122710,90.00%,541345,7.00%,190628,1.00%,6799,1.00%,7891597
Poland,,0.00%,645405,20.00%,2417227,80.00%,5447,0.00%,,0.00%,3068079
myanmar,4472620,95.00%,516272,4.00%,74142,0.00%,143237,1.00%,,0.00%,5206271
Iran,386860,3.00%,192311,1.00%,6700000,95.00%,85000,1.00%,,0.00%,7364171
Egypt,370283,20.00%,935778,30.00%,1315490,50.00%,15000,0.00%,1145,0.00%,2637696
Philippines,3201871,95.00%,2511436,2.00%,,3.00%,490,0.00%,7417,0.00%,5721214
Romania,5503,0.00%,2442563,50.00%,2112307,50.00%,168709,0.00%,,0.00%,4729082
South Africa,723,0.00%,2318850,70.00%,503350,10.00%,787200,20.00%,,0.00%,3610123
kazakhstan,67687,1.00%,150062,2.00%,11354380,96.00%,123623,1.00%,,0.00%,11695752
Spain,70043,5.00%,322373,15.00%,2063683,80.00%,1481,0.00%,401,0.00%,2457981
Japan,980490,90.00%,62,0.00%,211900,5.00%,146600,5.00%,3650,0.00%,1342702
Serbia,,0.00%,901753,50.00%,643083,40.00%,196472,10.00%,289,0.00%,1741597
