Country,Kcal,Production Cost,Environmental Impact Factor
Angola,1.49499E+13,1193917641,12768992
Antigua and Barbuda,295119351.5,33212.49303,258.5
Argentina,3.174E+14,79557429038,123368472.5
Armenia,7.79483E+11,46471335,306307.5
Australia,1.28147E+14,6929713315,49800844.5
Austria,5.55829E+12,272326183.4,2708093.5
azerbaijan,8.10769E+12,601773127.9,3240975
Bangladesh,1.16116E+14,16746576510,51656478.5
Belarus,8.75882E+12,0,3929680
Belize,2.20745E+11,53021524.73,135020.5
Bhutan,4.01329E+11,73052257.77,248745.5
Bolivia,2.3843E+13,4893088279,8931050
Bosnia and Herzegovina,2.16455E+12,597769203.8,1415079.5
Brazil,5.75111E+14,2.42341E+11,227109842.5
brunei,10465825934,722094.3251,4442
Burundi,1.81037E+12,129223770.5,1301343.5
Cambodia,2.93384E+13,3504854184,12988164.5
Canada,1.55342E+14,29900291036,61221950
Chad,3.85319E+12,239367955.3,2627570.5
Chile,3.57416E+12,749700065.7,1671832.5
China,9.24047E+14,2.34615E+11,490905880.5
Colombia,8.80831E+12,1795852900,4871697.5
Costa rica,3.46351E+11,47773899.52,160505.5
Croatia,4.04531E+12,1405029532,2187292.5
Cuba,2.12991E+12,255865221.2,1331006
Cyprus,98530026949,0,38182.5
Democratic People's Republic of Korea,9.10095E+12,1865721613,5160843.5
Dominican,1.9231E+12,150550496,914412.5
Egypt,2.64161E+13,5591640650,13343544.5
Finland,2.06466E+12,114720930,800100
France,7.17539E+13,16685915724,31969743
Gambia,7.3876E+11,34503933.44,431952.5
Georgia,9.58387E+11,95683827.94,589587
Ghana,1.10513E+13,1338278648,7920895.5
Guam,1233604166,19482.92191,550.5
Guatemala,5.88326E+12,7729211.1,4995136.5
Guinea-Bissau,1.21245E+12,73390582.08,546577.5
Guyana,1.56292E+12,244337563.4,692693.5
Haiti,2.41644E+12,368092903.5,1766356
Honduras,2.61824E+12,291182406.9,2219926.5
India,9.49626E+14,1.37888E+11,401699000
Iran,8.53653E+13,4502870710,33826370.5
Jamaica,21795593763,5630707.239,14333
Japan,1.77355E+13,4362214096,7359056
Jordan,2.16076E+11,13030447.46,86902
kazakhstan,1.35258E+14,855701904.3,52758853.5
Kenya,1.52753E+13,1708800915,12496643.5
Kuwait,3199520890,4106726.667,2785.5
Lebanon,4.72455E+11,28801049.21,185751.5
Liberia,2.21555E+12,67889814.56,964351
Lithuania,9.05904E+12,0,3551649.5
Luxembourg,1.51345E+11,17893196.61,58928.5
maldives,3189724837,62648.47958,1347
Mali,1.61218E+13,2301262397,10148804
Mauritania,5.36264E+11,66332274.73,275626.5
Mexico,5.38394E+13,12345531639,42475843
Mongolia,3.97913E+12,88902096.09,1541997
myanmar,6.71312E+13,7562568661,30510184.5
namibia,4.40745E+11,24581935.68,249961.5
Netherlands,1.35624E+12,232001595.6,554474
Nicaragua,2.46052E+12,260302705.6,1846270.5
Pakistan,1.36309E+14,12019643508,58166175
Papua New Guinea,1.7589E+11,6712876.018,77833.5
Paraguay,5.67078E+13,17694640298,20673284
Peru,8.57309E+12,1789842655,4923966.5
Philippines,5.96671E+13,7869743215,33044381.5
Poland,3.21899E+13,3896856461,14446313.5
Portugal,1.10529E+12,362503070.5,697526.5
Puerto Rico,3380379131,90579.53909,1547
Qatar,1005264696,801698.2367,846.5
Republic of Korea,7.5817E+12,1839191456,3258327
Romania,4.20416E+13,10372549227,23562977.5
Russia,3.58086E+14,41849094840,142504298
Rwanda,2.59071E+12,273930459.5,1895193
Sao Tome and Principe,3230216762,714859.7694,2671
Saudi Arabia,1.05779E+12,128130586.1,417492.5
Senegal,2.71817E+12,279629589.5,1684707
Serbia,1.55777E+13,4223121724,8541889.5
Sierra leone,7.34079E+12,225705546.3,3245968
Slovenia,5.82593E+11,186851324,337187
South Africa,3.02158E+13,6731973792,17778288
Spain,2.69683E+13,4195737812,11486069
Sri Lanka,9.97149E+12,960892027.1,4561107
Sudan,2.92483E+12,7361679,1245858
Switzerland,1.04364E+12,126245647,402284.5
Syria,7.21386E+12,319150684.6,2914955
Togo,5.30462E+12,420614747,4287285.5
Turkey,8.9858E+13,7753819684,36648045
Uganda,8.48972E+12,1253988343,6762873
Ukraine,1.27165E+14,25436152491,60992174
United Arab emirates,1971648433,3966111.565,1727
United States,8.49336E+14,3.74513E+11,383901172.5
Uruguay,1.79755E+13,2304417854,5912320
venezuela,3.75052E+12,651888497.7,2750285.5
Viet Nam,7.62953E+13,13322475886,36164167
Zambia,9.73709E+12,457764986.9,6863573.5
Zimbabwe,5.57808E+12,601780708.5,4322344.5
