Country,Production Cost
Angola,1193917641
Antigua and Barbuda,33212.49303
Argentina,79557429038
Armenia,46471335
Australia,6929713315
Austria,272326183.4
azerbaijan,601773127.9
Bangladesh,16746576510
Belarus,0
Belize,53021524.73
Bhutan,73052257.77
Bolivia,4893088279
Bosnia and Herzegovina,597769203.8
Brazil,2.42341E+11
brunei,722094.3251
Burundi,129223770.5
Cambodia,3504854184
Canada,29900291036
Chad,239367955.3
Chile,749700065.7
China,2.34615E+11
Colombia,1795852900
Costa rica,47773899.52
Croatia,1405029532
Cuba,255865221.2
Cyprus,0
Democratic People's Republic of Korea,1865721613
Dominican,150550496
Egypt,5591640650
Finland,114720930
France,16685915724
Gambia,34503933.44
Georgia,95683827.94
Ghana,1338278648
Guam,19482.92191
Guatemala,7729211.1
Guinea-Bissau,73390582.08
Guyana,244337563.4
Haiti,368092903.5
Honduras,291182406.9
India,1.37888E+11
Iran,4502870710
Jamaica,5630707.239
Japan,4362214096
Jordan,13030447.46
kazakhstan,855701904.3
Kenya,1708800915
Kuwait,4106726.667
Lebanon,28801049.21
Liberia,67889814.56
Lithuania,0
Luxembourg,17893196.61
maldives,62648.47958
Mali,2301262397
Mauritania,66332274.73
Mexico,12345531639
Mongolia,88902096.09
myanmar,7562568661
namibia,24581935.68
Netherlands,232001595.6
Nicaragua,260302705.6
Pakistan,12019643508
Papua New Guinea,6712876.018
Paraguay,17694640298
Peru,1789842655
Philippines,7869743215
Poland,3896856461
Portugal,362503070.5
Puerto Rico,90579.53909
Qatar,801698.2367
Republic of Korea,1839191456
Romania,10372549227
Russia,41849094840
Rwanda,273930459.5
Sao Tome and Principe,714859.7694
Saudi Arabia,128130586.1
Senegal,279629589.5
Serbia,4223121724
Sierra leone,225705546.3
Slovenia,186851324
South Africa,6731973792
Spain,4195737812
Sri Lanka,960892027.1
Sudan,7361679
Switzerland,126245647
Syria,319150684.6
Togo,420614747
Turkey,7753819684
Uganda,1253988343
Ukraine,25436152491
United Arab emirates,3966111.565
United States,3.74513E+11
Uruguay,2304417854
venezuela,651888497.7
Viet Nam,13322475886
Zambia,457764986.9
Zimbabwe,601780708.5
