Country or Area,Element,Year,Unit,Rice Value
World,Production,2018,tonnes,521594098
Asia,Production,2018,tonnes,470497398
Low Income Food Deficit Countries,Production,2018,tonnes,201991144
Southern Asia,Production,2018,tonnes,167625740
Eastern Asia,Production,2018,tonnes,154136852
South-eastern Asia,Production,2018,tonnes,147272725
China,Production,2018,tonnes,142790557
"China, mainland",Production,2018,tonnes,141490043
India,Production,2018,tonnes,115110860
Net Food Importing Developing Countries,Production,2018,tonnes,98146569
Least Developed Countries,Production,2018,tonnes,80043432
Indonesia,Production,2018,tonnes,55385679
Bangladesh,Production,2018,tonnes,37630352
World,Area harvested,2018,ha,131794917
India,Area harvested,2018,ha,29681500
Viet Nam,Production,2018,tonnes,29378848
Americas,Production,2018,tonnes,25855484
Africa,Production,2018,tonnes,22127069
Thailand,Production,2018,tonnes,21472122
China,Area harvested,2018,ha,20317458
"China, mainland",Area harvested,2018,ha,20136363
South America,Production,2018,tonnes,17390321
Myanmar,Production,2018,tonnes,16953901
Philippines,Production,2018,tonnes,12717085
Western Africa,Production,2018,tonnes,12313150
Land Locked Developing Countries,Production,2018,tonnes,10703894
Indonesia,Area harvested,2018,ha,10668665
Bangladesh,Area harvested,2018,ha,7944211
Brazil,Production,2018,tonnes,7836711
Pakistan,Production,2018,tonnes,7205567
Cambodia,Production,2018,tonnes,7101691
Thailand,Area harvested,2018,ha,6941650
Northern America,Production,2018,tonnes,6783417
United States of America,Production,2018,tonnes,6783417
Japan,Production,2018,tonnes,6488243
Eastern Africa,Production,2018,tonnes,5378872
Viet Nam,Area harvested,2018,ha,5049684
Nigeria,Production,2018,tonnes,4541821
Myanmar,Area harvested,2018,ha,4472620
Republic of Korea,Production,2018,tonnes,3465356
Nepal,Production,2018,tonnes,3436334
Northern Africa,Production,2018,tonnes,3330565
Egypt,Production,2018,tonnes,3268300
Philippines,Area harvested,2018,ha,3201871
Madagascar,Production,2018,tonnes,2688010
Europe,Production,2018,tonnes,2683312
Sri Lanka,Production,2018,tonnes,2621197
Lao People's Democratic Republic,Production,2018,tonnes,2390995
Peru,Production,2018,tonnes,2373119
Nigeria,Area harvested,2018,ha,2231761
Colombia,Production,2018,tonnes,2216399
Mali,Production,2018,tonnes,2112741
United Republic of Tanzania,Production,2018,tonnes,2012135
Cambodia,Area harvested,2018,ha,1988780
European Union,Production,2018,tonnes,1931494
European Union (27),Production,2018,tonnes,1931494
Small Island Developing States,Production,2018,tonnes,1883494
Pakistan,Area harvested,2018,ha,1874290
Southern Europe,Production,2018,tonnes,1816560
Malaysia,Production,2018,tonnes,1813564
Guinea,Production,2018,tonnes,1560611
C么te d'Ivoire,Production,2018,tonnes,1406925
Democratic People's Republic of Korea,Production,2018,tonnes,1392696
Iran (Islamic Republic of),Production,2018,tonnes,1327330
Other non-specified areas,Production,2018,tonnes,1300514
Brazil,Area harvested,2018,ha,1241496
Guinea,Area harvested,2018,ha,1240465
Middle Africa,Production,2018,tonnes,1102409
Italy,Production,2018,tonnes,1008665
Japan,Area harvested,2018,ha,980490
Nepal,Area harvested,2018,ha,980187
Argentina,Production,2018,tonnes,912435
Uruguay,Production,2018,tonnes,907120
Ecuador,Production,2018,tonnes,900512
Democratic Republic of the Congo,Area harvested,2018,ha,869250
Caribbean,Production,2018,tonnes,848427
Central America,Production,2018,tonnes,833319
Western Asia,Production,2018,tonnes,818251
Eastern Europe,Production,2018,tonnes,817857
United Republic of Tanzania,Area harvested,2018,ha,800317
United States of America,Area harvested,2018,ha,786840
Sri Lanka,Area harvested,2018,ha,694316
Russian Federation,Production,2018,tonnes,692494
Democratic Republic of the Congo,Production,2018,tonnes,660423
Mali,Area harvested,2018,ha,646669
Central Asia,Production,2018,tonnes,643830
Guyana,Production,2018,tonnes,643303
Turkey,Production,2018,tonnes,626980
Madagascar,Area harvested,2018,ha,619099
Sierra Leone,Production,2018,tonnes,613497
Paraguay,Production,2018,tonnes,596698
Lao People's Democratic Republic,Area harvested,2018,ha,565732
Spain,Production,2018,tonnes,539047
Sierra Leone,Area harvested,2018,ha,531168
C么te d'Ivoire,Area harvested,2018,ha,516957
Ghana,Production,2018,tonnes,513190
Senegal,Production,2018,tonnes,508772
Republic of Korea,Area harvested,2018,ha,492028
Malaysia,Area harvested,2018,ha,444840
Oceania,Production,2018,tonnes,430835
Colombia,Area harvested,2018,ha,424321
Australia,Production,2018,tonnes,423620
Australia and New Zealand,Production,2018,tonnes,423620
Dominican Republic,Production,2018,tonnes,418451
Iran (Islamic Republic of),Area harvested,2018,ha,386860
Egypt,Area harvested,2018,ha,370283
Bolivia (Plurinational State of),Production,2018,tonnes,360952
Venezuela (Bolivarian Republic of),Production,2018,tonnes,329864
Kazakhstan,Production,2018,tonnes,322124
Democratic People's Republic of Korea,Area harvested,2018,ha,314157
Cuba,Production,2018,tonnes,307400
Benin,Production,2018,tonnes,306362
Peru,Area harvested,2018,ha,292111
Nicaragua,Production,2018,tonnes,243455
Afghanistan,Production,2018,tonnes,234902
