Country or Area,Element,Year,Unit,Soya Value
World,Production,2018,tonnes,348712311
Americas,Production,2018,tonnes,302429121
South America,Production,2018,tonnes,171107741
Northern America,Production,2018,tonnes,130930830
World,Area harvested,2018,ha,124921956
United States of America,Production,2018,tonnes,123664230
Brazil,Production,2018,tonnes,117887672
Americas,Area harvested,2018,ha,95536344
South America,Area harvested,2018,ha,57119648
Northern America,Area harvested,2018,ha,38196840
Argentina,Production,2018,tonnes,37787927
United States of America,Area harvested,2018,ha,35657240
Brazil,Area harvested,2018,ha,34771690
Asia,Production,2018,tonnes,30608520
Asia,Area harvested,2018,ha,21074542
Argentina,Area harvested,2018,ha,16318060
Land Locked Developing Countries,Production,2018,tonnes,15111260
Low Income Food Deficit Countries,Production,2018,tonnes,15044390
Eastern Asia,Production,2018,tonnes,14629331
China,Production,2018,tonnes,14193621
"China, mainland",Production,2018,tonnes,14189217
Southern Asia,Production,2018,tonnes,14125135
India,Production,2018,tonnes,13786000
Low Income Food Deficit Countries,Area harvested,2018,ha,12461714
Europe,Production,2018,tonnes,12055508
Southern Asia,Area harvested,2018,ha,11568145
India,Area harvested,2018,ha,11400000
Paraguay,Production,2018,tonnes,11045971
Eastern Europe,Production,2018,tonnes,9333716
Eastern Asia,Area harvested,2018,ha,8278115
China,Area harvested,2018,ha,7973877
"China, mainland",Area harvested,2018,ha,7970856
Canada,Production,2018,tonnes,7266600
Land Locked Developing Countries,Area harvested,2018,ha,5676873
Europe,Area harvested,2018,ha,5659308
Eastern Europe,Area harvested,2018,ha,4796718
Ukraine,Production,2018,tonnes,4460770
Russian Federation,Production,2018,tonnes,4026850
Africa,Production,2018,tonnes,3556163
Paraguay,Area harvested,2018,ha,3510000
Bolivia (Plurinational State of),Production,2018,tonnes,2942131
European Union,Production,2018,tonnes,2835295
Russian Federation,Area harvested,2018,ha,2740850
Africa,Area harvested,2018,ha,2614762
Canada,Area harvested,2018,ha,2539600
Southern Europe,Production,2018,tonnes,2072954
Ukraine,Area harvested,2018,ha,1728700
South Africa,Production,2018,tonnes,1540000
Southern Africa,Production,2018,tonnes,1540000
Net Food Importing Developing Countries,Production,2018,tonnes,1488996
South-eastern Asia,Production,2018,tonnes,1441950
Least Developed Countries,Production,2018,tonnes,1416563
Bolivia (Plurinational State of),Area harvested,2018,ha,1362925
Uruguay,Production,2018,tonnes,1334000
Net Food Importing Developing Countries,Area harvested,2018,ha,1228002
Least Developed Countries,Area harvested,2018,ha,1192850
Western Africa,Production,2018,tonnes,1175495
Italy,Production,2018,tonnes,1138993
Western Africa,Area harvested,2018,ha,1124773
Uruguay,Area harvested,2018,ha,1099000
South-eastern Asia,Area harvested,2018,ha,1063297
European Union,Area harvested,2018,ha,955670
Indonesia,Production,2018,tonnes,953571
South Africa,Area harvested,2018,ha,787200
